
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384947      1.389288687       0.007062                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC5FAC, length = 1000
59B  --1-           -1  -1       43384947      1.389295853       0.007166                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC6FB4, length = 1000
59B  --1-           -1  -1       43384947      1.389303343       0.007490                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC7FBC, length = 1000
59B  --1-           -1  -1       43384947      1.389310833       0.007490                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC8FC4, length = 1000
59B  --1-           -1  -1       43384947      1.389317812       0.006979                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC9FCC, length = 1000
59B  --1-           -1  -1       43384947      1.389324828       0.007016                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCAFD4, length = 1000
59B  --1-           -1  -1       43384947      1.389332037       0.007209                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCBFDC, length = 1000
59B  --1-           -1  -1       43384947      1.389339328       0.007291                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCCFE4, length = 1000
59B  --1-           -1  -1       43384947      1.389346437       0.007109                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCDFEC, length = 1000
59B  --1-           -1  -1       43384947      1.389353414       0.006977                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCEFF4, length = 1000
59B  --1-           -1  -1       43384947      1.389360658       0.007244                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCFFFC, length = 1000
59B  --1-           -1  -1       43384947      1.389368281       0.007623                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD1004, length = 1000
59B  --1-           -1  -1       43384947      1.389375593       0.007312                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD200C, length = 1000
59B  --1-           -1  -1       43384947      1.389382906       0.007313                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD3014, length = 1000
59B  --1-           -1  -1       43384947      1.389390341       0.007435                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD401C, length = 1000
59B  --1-           -1  -1       43384947      1.389397664       0.007323                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD5024, length = 1000
59B  --1-           -1  -1       43384947      1.389404691       0.007027                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD602C, length = 1000
59B  --1-           -1  -1       43384947      1.389411722       0.007031                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD7034, length = 1000
59B  --1-           -1  -1       43384947      1.389419156       0.007434                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD803C, length = 1000
59B  --1-           -1  -1       43384947      1.389426503       0.007347                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9044, length = 1000
59B  --1-           -1  -1       43384947      1.389432031       0.005528                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CB2C, length = 1000
59B  --1-           -1  -1       43384947      1.389436375       0.004344                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94A0, length = 1000
59B  --1-           -1  -1       43384947      1.389440044       0.003669                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210C994, length = 1000
59B  --1-           -1  -1       43384947      1.389444156       0.004112                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94C4, length = 1000
59B  --1-           -1  -1       43384947      1.389448443       0.004287                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107AE5, length = 1000
59B  --1-           -1  -1       43384947      1.389452937       0.004494                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95AE, length = 1000
59B  --1-           -1  -1       43384947      1.389456750       0.003813                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBA9, length = 1000
59B  --1-           -1  -1       43384947      1.389460072       0.003322                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95D2, length = 1000
59B  --1-           -1  -1       43384947      1.389464902       0.004830                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DD9, length = 1000
59B  --1-           -1  -1       43384947      1.389469425       0.004523                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97CA, length = 1000
59B  --1-           -1  -1       43384947      1.389473228       0.003803                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC08, length = 1000
59B  --1-           -1  -1       43384947      1.389476462       0.003234                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97EE, length = 1000
59B  --1-           -1  -1       43384947      1.389480156       0.003694                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107A71, length = 1000
59B  --1-           -1  -1       43384947      1.389483988       0.003832                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9812, length = 1000
59B  --1-           -1  -1       43384947      1.389488218       0.004230                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107970, length = 1000
59B  --1-           -1  -1       43384947      1.389491322       0.003104                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9836, length = 1000
59B  --1-           -1  -1       43384947      1.389495675       0.004353                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DF8, length = 1000
59B  --1-           -1  -1       43384947      1.389498906       0.003231                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD985A, length = 1000
59B  --1-           -1  -1       43384947      1.389503083       0.004177                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210828F, length = 1000
59B  --1-           -1  -1       43384947      1.389506839       0.003756                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD987E, length = 1000
59B  --1-           -1  -1       43384947      1.389510990       0.004151                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002106471, length = 1000
59B  --1-           -1  -1       43384947      1.389515187       0.004197                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98A2, length = 1000
59B  --1-           -1  -1       43384947      1.389519435       0.004248                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210645C, length = 1000
59B  --1-           -1  -1       43384947      1.389523201       0.003766                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98C6, length = 1000
59B  --1-           -1  -1       43384947      1.389527156       0.003955                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108455, length = 1000
59B  --1-           -1  -1       43384947      1.389533744       0.006588                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98EA, length = 1000
59B  --1-           -1  -1       43384947      1.389537468       0.003724                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108446, length = 1000
59B  --1-           -1  -1       43384947      1.389541083       0.003615                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD990E, length = 1000
59B  --1-           -1  -1       43384947      1.389544949       0.003866                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107B16, length = 1000
59B  --1-           -1  -1       43384947      1.389548781       0.003832                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9932, length = 1000
59B  --1-           -1  -1       43384947      1.389553031       0.004250                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021065E1, length = 1000
59B  --1-           -1  -1       43384947      1.389556593       0.003562                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9956, length = 1000
59B  --1-           -1  -1       43384947      1.389560757       0.004164                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108AC7, length = 1000
59B  --1-           -1  -1       43384947      1.389564472       0.003715                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD997A, length = 1000
59B  --1-           -1  -1       43384947      1.389568939       0.004467                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBE7, length = 1000
59B  --1-           -1  -1       43384947      1.389572476       0.003537                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99C2, length = 1000
59B  --1-           -1  -1       43384947      1.389576333       0.003857                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210502E, length = 1000
59B  --1-           -1  -1       43384947      1.389579812       0.003479                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99E6, length = 1000
59B  --1-           -1  -1       43384947      1.389583824       0.004012                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3D4, length = 1000
59B  --1-           -1  -1       43384947      1.389588199       0.004375                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A0A, length = 1000
59B  --1-           -1  -1       43384947      1.389591923       0.003724                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3B7, length = 1000
59B  --1-           -1  -1       43384947      1.389595812       0.003889                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A2E, length = 1000
59B  --1-           -1  -1       43384947      1.389599531       0.003719                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021027D6, length = 1000
59B  --1-           -1  -1       43384947      1.389603398       0.003867                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A52, length = 1000
59B  --1-           -1  -1       43384947      1.389607646       0.004248                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104EA2, length = 1000
59B  --1-           -1  -1       43384947      1.389611294       0.003648                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A76, length = 1000
59B  --1-           -1  -1       43384947      1.389615576       0.004282                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC11, length = 1000
59B  --1-           -1  -1       43384947      1.389619353       0.003777                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9ABE, length = 1000
59B  --1-           -1  -1       43384947      1.389623986       0.004633                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107C80, length = 1000
59B  --1-           -1  -1       43384947      1.389627031       0.003045                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C02, length = 1000
59B  --1-           -1  -1       43384947      1.389631314       0.004283                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCBB, length = 1000
59B  --1-           -1  -1       43384947      1.389635218       0.003904                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C26, length = 1000
59B  --1-           -1  -1       43384947      1.389639218       0.004000                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002102874, length = 1000
59B  --1-           -1  -1       43384947      1.389643048       0.003830                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C6E, length = 1000
59B  --1-           -1  -1       43384947      1.389646724       0.003676                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCE1, length = 1000
59B  --1-           -1  -1       43384947      1.389650414       0.003690                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C92, length = 1000
59B  --1-           -1  -1       43384947      1.389654958       0.004544                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021029E9, length = 1000
59B  --1-           -1  -1       43384947      1.389658312       0.003354                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DD6, length = 1000
59B  --1-           -1  -1       43384947      1.389662468       0.004156                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CD86, length = 1000
59B  --1-           -1  -1       43384947      1.389666125       0.003657                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DFA, length = 1000
59B  --1-           -1  -1       43384947      1.391615843       1.949718                   JFS2 IO read: vp = F10001038096CC20, sid = A800A8, offset = 0000000000000000, length = 0B81
59B  --1-           -1  -1       43384947      1.392722888       1.107045                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 0000000000000000, length = 06A7
59B  --1-           -1  -1       43384947      1.392781781       0.058893                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 00000000000006A7, length = 0000
59B  --1-           -1  -1       43384947      1.392993810       0.212029                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       43384947      1.393074687       0.080877                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000001000, length = 06DE
59B  --1-           -1  -1       43384947      1.393126785       0.052098                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 00000000000015A4, length = 013A
59B  --1-           -1  -1       43384947      1.393172250       0.045465                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000D3F, length = 099F
59B  --1-           -1  -1       43384947      1.393287500       0.115250                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384947      1.393310687       0.023187                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384947      1.393738501       0.427814                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384947      1.393782937       0.044436                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000001E1, length = 0117
59B  --1-           -1  -1       43384947      1.393904164       0.121227                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 000000000000001A, length = 02DE
59B  --1-           -1  -1       43384947      1.393992009       0.087845                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384947      1.394018625       0.026616                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000000A2, length = 0256
59B  --1-           -1  -1       39977131      1.398407599       4.388974                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       39977131      1.398593447       0.185848                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       39977131      1.398596656       0.003209                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       39977131      1.398600269       0.003613                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       37486603      1.399373093       0.772824                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486603      1.399624851       0.251758                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       37486603      1.399626787       0.001936                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       37486603      1.399629138       0.002351                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       37486607      1.464291087      64.661949                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486607      1.464539589       0.248502                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0DE4
59B  --1-           -1  -1       37486607      1.464542531       0.002942                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000A98, length = 0020
59B  --1-           -1  -1       37486607      1.464546052       0.003521                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000D58, length = 002F
59B  --1-           -1  -1       43384949      2.466202312    1001.656260                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       43384949      2.466526597       0.324285                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0FC0
59B  --1-           -1  -1       43384949      2.466529626       0.003029                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000018888, length = 0038
59B  --1-           -1  -1       43384949      2.466532656       0.003030                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 000000000001BDB0, length = 0070
59B  --1-           -1  -1       43384949      2.467590031       1.057375                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       39977133      2.468240187       0.650156                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       39977133      2.468396031       0.155844                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       39977133      2.468399023       0.002992                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       39977133      2.468401226       0.002203                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       43384949      2.468972369       0.571143                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F00, length = 1000
59B  --1-           -1  -1       43384949      2.468979031       0.006662                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021021B0, length = 1000
59B  --1-           -1  -1       43384949      2.468983429       0.004398                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F24, length = 1000
59B  --1-           -1  -1       43384949      2.468991478       0.008049                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB5F2C, length = 1000
59B  --1-           -1  -1       43384949      2.468998583       0.007105                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB6F34, length = 1000
59B  --1-           -1  -1       43384949      2.469006000       0.007417                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB7F3C, length = 1000
59B  --1-           -1  -1       43384949      2.469013500       0.007500                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB8F44, length = 1000
59B  --1-           -1  -1       43384949      2.469020572       0.007072                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB9F4C, length = 1000
59B  --1-           -1  -1       43384949      2.469027644       0.007072                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBAF54, length = 1000
59B  --1-           -1  -1       43384949      2.469034937       0.007293                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBBF5C, length = 1000
59B  --1-           -1  -1       43384949      2.469042406       0.007469                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBCF64, length = 1000
59B  --1-           -1  -1       43384949      2.469049500       0.007094                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBDF6C, length = 1000
59B  --1-           -1  -1       43384949      2.469056306       0.006806                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBEF74, length = 1000
59B  --1-           -1  -1       43384949      2.469063750       0.007444                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBFF7C, length = 1000
59B  --1-           -1  -1       43384949      2.469071207       0.007457                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC0F84, length = 1000
59B  --1-           -1  -1       43384949      2.469078378       0.007171                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC1F8C, length = 1000
59B  --1-           -1  -1       43384949      2.469085343       0.006965                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC2F94, length = 1000
59B  --1-           -1  -1       43384949      2.469092664       0.007321                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC3F9C, length = 1000
59B  --1-           -1  -1       43384949      2.469100240       0.007576                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC4FA4, length = 1000
59B  --1-           -1  -1       43384949      2.469107578       0.007338                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC5FAC, length = 1000
59B  --1-           -1  -1       43384949      2.469114593       0.007015                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC6FB4, length = 1000
59B  --1-           -1  -1       43384949      2.469122052       0.007459                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC7FBC, length = 1000
59B  --1-           -1  -1       43384949      2.469129488       0.007436                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC8FC4, length = 1000
59B  --1-           -1  -1       43384949      2.469136542       0.007054                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC9FCC, length = 1000
59B  --1-           -1  -1       43384949      2.469143660       0.007118                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCAFD4, length = 1000
59B  --1-           -1  -1       43384949      2.469150937       0.007277                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCBFDC, length = 1000
59B  --1-           -1  -1       43384949      2.469158406       0.007469                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCCFE4, length = 1000
59B  --1-           -1  -1       43384949      2.469165531       0.007125                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCDFEC, length = 1000
59B  --1-           -1  -1       43384949      2.469172628       0.007097                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCEFF4, length = 1000
59B  --1-           -1  -1       43384949      2.469180000       0.007372                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCFFFC, length = 1000
59B  --1-           -1  -1       43384949      2.469187375       0.007375                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD1004, length = 1000
59B  --1-           -1  -1       43384949      2.469194718       0.007343                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD200C, length = 1000
59B  --1-           -1  -1       43384949      2.469201681       0.006963                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD3014, length = 1000
59B  --1-           -1  -1       43384949      2.469209222       0.007541                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD401C, length = 1000
59B  --1-           -1  -1       43384949      2.469216552       0.007330                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD5024, length = 1000
59B  --1-           -1  -1       43384949      2.469223843       0.007291                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD602C, length = 1000
59B  --1-           -1  -1       43384949      2.469231000       0.007157                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD7034, length = 1000
59B  --1-           -1  -1       43384949      2.469238250       0.007250                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD803C, length = 1000
59B  --1-           -1  -1       43384949      2.469245851       0.007601                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9044, length = 1000
59B  --1-           -1  -1       43384949      2.469251355       0.005504                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CB2C, length = 1000
59B  --1-           -1  -1       43384949      2.469255500       0.004145                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94A0, length = 1000
59B  --1-           -1  -1       43384949      2.469259187       0.003687                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210C994, length = 1000
59B  --1-           -1  -1       43384949      2.469263248       0.004061                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94C4, length = 1000
59B  --1-           -1  -1       43384949      2.469267625       0.004377                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107AE5, length = 1000
59B  --1-           -1  -1       43384949      2.469271837       0.004212                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95AE, length = 1000
59B  --1-           -1  -1       43384949      2.469275593       0.003756                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBA9, length = 1000
59B  --1-           -1  -1       43384949      2.469278937       0.003344                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95D2, length = 1000
59B  --1-           -1  -1       43384949      2.469283812       0.004875                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DD9, length = 1000
59B  --1-           -1  -1       43384949      2.469288326       0.004514                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97CA, length = 1000
59B  --1-           -1  -1       43384949      2.469292125       0.003799                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC08, length = 1000
59B  --1-           -1  -1       43384949      2.469295167       0.003042                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97EE, length = 1000
59B  --1-           -1  -1       43384949      2.469298863       0.003696                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107A71, length = 1000
59B  --1-           -1  -1       43384949      2.469302781       0.003918                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9812, length = 1000
59B  --1-           -1  -1       43384949      2.469306914       0.004133                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107970, length = 1000
59B  --1-           -1  -1       43384949      2.469309978       0.003064                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9836, length = 1000
59B  --1-           -1  -1       43384949      2.469314375       0.004397                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DF8, length = 1000
59B  --1-           -1  -1       43384949      2.469317419       0.003044                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD985A, length = 1000
59B  --1-           -1  -1       43384949      2.469321593       0.004174                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210828F, length = 1000
59B  --1-           -1  -1       43384949      2.469325281       0.003688                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD987E, length = 1000
59B  --1-           -1  -1       43384949      2.469329437       0.004156                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002106471, length = 1000
59B  --1-           -1  -1       43384949      2.469333906       0.004469                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98A2, length = 1000
59B  --1-           -1  -1       43384949      2.469337933       0.004027                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210645C, length = 1000
59B  --1-           -1  -1       43384949      2.469341763       0.003830                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98C6, length = 1000
59B  --1-           -1  -1       43384949      2.469345656       0.003893                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108455, length = 1000
