
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384945      0.302686000       0.007014                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCEFF4, length = 1000
59B  --1-           -1  -1       43384945      0.302693500       0.007500                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCFFFC, length = 1000
59B  --1-           -1  -1       43384945      0.302700865       0.007365                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD1004, length = 1000
59B  --1-           -1  -1       43384945      0.302708281       0.007416                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD200C, length = 1000
59B  --1-           -1  -1       43384945      0.302715187       0.006906                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD3014, length = 1000
59B  --1-           -1  -1       43384945      0.302722644       0.007457                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD401C, length = 1000
59B  --1-           -1  -1       43384945      0.302729912       0.007268                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD5024, length = 1000
59B  --1-           -1  -1       43384945      0.302737169       0.007257                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD602C, length = 1000
59B  --1-           -1  -1       43384945      0.302744058       0.006889                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD7034, length = 1000
59B  --1-           -1  -1       43384945      0.302751517       0.007459                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD803C, length = 1000
59B  --1-           -1  -1       43384945      0.302758949       0.007432                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9044, length = 1000
59B  --1-           -1  -1       43384945      0.302764521       0.005572                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CB2C, length = 1000
59B  --1-           -1  -1       43384945      0.302768843       0.004322                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94A0, length = 1000
59B  --1-           -1  -1       43384945      0.302772437       0.003594                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210C994, length = 1000
59B  --1-           -1  -1       43384945      0.302776312       0.003875                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94C4, length = 1000
59B  --1-           -1  -1       43384945      0.302780656       0.004344                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107AE5, length = 1000
59B  --1-           -1  -1       43384945      0.302784816       0.004160                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95AE, length = 1000
59B  --1-           -1  -1       43384945      0.302788593       0.003777                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBA9, length = 1000
59B  --1-           -1  -1       43384945      0.302791968       0.003375                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95D2, length = 1000
59B  --1-           -1  -1       43384945      0.302796900       0.004932                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DD9, length = 1000
59B  --1-           -1  -1       43384945      0.302801230       0.004330                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97CA, length = 1000
59B  --1-           -1  -1       43384945      0.302805031       0.003801                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC08, length = 1000
59B  --1-           -1  -1       43384945      0.302808085       0.003054                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97EE, length = 1000
59B  --1-           -1  -1       43384945      0.302811781       0.003696                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107A71, length = 1000
59B  --1-           -1  -1       43384945      0.302815625       0.003844                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9812, length = 1000
59B  --1-           -1  -1       43384945      0.302819822       0.004197                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107970, length = 1000
59B  --1-           -1  -1       43384945      0.302825218       0.005396                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9836, length = 1000
59B  --1-           -1  -1       43384945      0.302829615       0.004397                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DF8, length = 1000
59B  --1-           -1  -1       43384945      0.302832644       0.003029                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD985A, length = 1000
59B  --1-           -1  -1       43384945      0.302836781       0.004137                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210828F, length = 1000
59B  --1-           -1  -1       43384945      0.302840468       0.003687                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD987E, length = 1000
59B  --1-           -1  -1       43384945      0.302844603       0.004135                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002106471, length = 1000
59B  --1-           -1  -1       43384945      0.302849500       0.004897                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98A2, length = 1000
59B  --1-           -1  -1       43384945      0.302853472       0.003972                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210645C, length = 1000
59B  --1-           -1  -1       43384945      0.302857312       0.003840                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98C6, length = 1000
59B  --1-           -1  -1       43384945      0.302861244       0.003932                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108455, length = 1000
59B  --1-           -1  -1       43384945      0.302865019       0.003775                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98EA, length = 1000
59B  --1-           -1  -1       43384945      0.302868822       0.003803                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108446, length = 1000
59B  --1-           -1  -1       43384945      0.302872289       0.003467                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD990E, length = 1000
59B  --1-           -1  -1       43384945      0.302875968       0.003679                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107B16, length = 1000
59B  --1-           -1  -1       43384945      0.302879843       0.003875                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9932, length = 1000
59B  --1-           -1  -1       43384945      0.302884062       0.004219                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021065E1, length = 1000
59B  --1-           -1  -1       43384945      0.302887667       0.003605                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9956, length = 1000
59B  --1-           -1  -1       43384945      0.302891968       0.004301                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108AC7, length = 1000
59B  --1-           -1  -1       43384945      0.302895468       0.003500                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD997A, length = 1000
59B  --1-           -1  -1       43384945      0.302899730       0.004262                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBE7, length = 1000
59B  --1-           -1  -1       43384945      0.302903218       0.003488                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99C2, length = 1000
59B  --1-           -1  -1       43384945      0.302907093       0.003875                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210502E, length = 1000
59B  --1-           -1  -1       43384945      0.302910531       0.003438                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99E6, length = 1000
59B  --1-           -1  -1       43384945      0.302914562       0.004031                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3D4, length = 1000
59B  --1-           -1  -1       43384945      0.302918781       0.004219                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A0A, length = 1000
59B  --1-           -1  -1       43384945      0.302922580       0.003799                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3B7, length = 1000
59B  --1-           -1  -1       43384945      0.302926531       0.003951                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A2E, length = 1000
59B  --1-           -1  -1       43384945      0.302930375       0.003844                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021027D6, length = 1000
59B  --1-           -1  -1       43384945      0.302934386       0.004011                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A52, length = 1000
59B  --1-           -1  -1       43384945      0.302938531       0.004145                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104EA2, length = 1000
59B  --1-           -1  -1       43384945      0.302942187       0.003656                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A76, length = 1000
59B  --1-           -1  -1       43384945      0.302946437       0.004250                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC11, length = 1000
59B  --1-           -1  -1       43384945      0.302950250       0.003813                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9ABE, length = 1000
59B  --1-           -1  -1       43384945      0.302954906       0.004656                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107C80, length = 1000
59B  --1-           -1  -1       43384945      0.302958125       0.003219                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C02, length = 1000
59B  --1-           -1  -1       43384945      0.302962062       0.003937                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCBB, length = 1000
59B  --1-           -1  -1       43384945      0.302965996       0.003934                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C26, length = 1000
59B  --1-           -1  -1       43384945      0.302970031       0.004035                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002102874, length = 1000
59B  --1-           -1  -1       43384945      0.302973812       0.003781                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C6E, length = 1000
59B  --1-           -1  -1       43384945      0.302977531       0.003719                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCE1, length = 1000
59B  --1-           -1  -1       43384945      0.302981062       0.003531                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C92, length = 1000
59B  --1-           -1  -1       43384945      0.302985656       0.004594                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021029E9, length = 1000
59B  --1-           -1  -1       43384945      0.302988960       0.003304                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DD6, length = 1000
59B  --1-           -1  -1       43384945      0.302993146       0.004186                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CD86, length = 1000
59B  --1-           -1  -1       43384945      0.302996750       0.003604                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DFA, length = 1000
59B  --1-           -1  -1       43384945      0.305013904       2.017154                   JFS2 IO read: vp = F10001038096CC20, sid = A800A8, offset = 0000000000000000, length = 0B81
